Title,Music_Composer,Genre
Bhakta Prahlada,Ilaiyaraaja,Musical
Bhama Vijayam,Ilaiyaraaja,"Romance
"
Bhuvana Sundari Katha,Ilaiyaraaja,"Romance
"
Chadarangam,Ilaiyaraaja,Drama
Chikkadu Dorakadu,Ilaiyaraaja,Folklore
Dwapayana Kaivalyam,Ilaiyaraaja,"Romance
"
Devuni Gelichina Manavudu,Ilaiyaraaja,Drama
Gruhalakshmi,Ilaiyaraaja,"Romance
"
Gudachari 116,Ilaiyaraaja,Action
Iddaru Monagallu,Ilaiyaraaja,"Romance
"
Kambojaraju Katha,Ilaiyaraaja,"Romance
"
Kanchu Kota,Ilaiyaraaja,Drama
Konte Pilla,Ilaiyaraaja,"Romance
"
Maa Vadina,Ilaiyaraaja,Drama
Nindu Manasulu,Ilaiyaraaja,"Romance
"
Nirdoshi,Ilaiyaraaja,"Romance
"
Pedda Akkayya,Ilaiyaraaja,Drama
Poola Rangadu,Ilaiyaraaja,Drama
Prana Mithrulu,Ilaiyaraaja,Drama
Private Master,Ilaiyaraaja,Musical
Punyavathi,Ilaiyaraaja,Family
Rahasyam,Ilaiyaraaja,Drama
Sakshi,Ilaiyaraaja,Drama
Sati Sumathi,Ilaiyaraaja,Drama
Sri Krishnavataram,Ilaiyaraaja,"Romance
"
Sri Sri Sri Maryada Ramanna,Ilaiyaraaja,"Romance
"
Stree Janma,Ilaiyaraaja,Drama
Sudigundalu,Ilaiyaraaja,Drama
Ummadi Kutumbam,Ilaiyaraaja,Drama
Vasantha Sena,Ilaiyaraaja,"Romance
"
Veera Pooja,Ilaiyaraaja,"Romance
"
Aggi Meeda Guggilam,Ilaiyaraaja,Folklore
Amayakudu,Ilaiyaraaja,Drama
Attagaru Kotha Kodalu,Ilaiyaraaja,Family
Baghdad Gaja Donga,Ilaiyaraaja,"Romance
"
Bandhavyalu,Ilaiyaraaja,"Romance
"
Bandipotu Dongalu,Ilaiyaraaja,Drama
Bangaru Gaajulu,Ilaiyaraaja,Family
Bangaru Pichika,Ilaiyaraaja,"Romance
"
Bangaru Sankellu,Ilaiyaraaja,Drama
Bhagya Chakramu,Ilaiyaraaja,Folklore
Bhale Master,Ilaiyaraaja,Drama
Bhale Monagadu,Ilaiyaraaja,Folklore
Bharya,Ilaiyaraaja,Drama
Brahmachari,Ilaiyaraaja,Family
Chinnari Papalu,Ilaiyaraaja,"Romance
"
Circar Express,Ilaiyaraaja,Social
Devadichina Bharta,Ilaiyaraaja,Folklore
Devakanya,Ilaiyaraaja,Folklore
Evaru Monagadu,Ilaiyaraaja,Social
Govula Gopanna,Ilaiyaraaja,Drama
Kalisochina Adrushtam,Ilaiyaraaja,Drama
Kumkuma Barani,Ilaiyaraaja,Drama
Lakshmi Nivasam,Ilaiyaraaja,"Romance
"
Manasamsaram,Ilaiyaraaja,Folklore
Manchi Kutumbam,Ilaiyaraaja,Family
Nadamanthrapu Siri,Ilaiyaraaja,"Romance
"
Neerkimi Neervedhaptha Charithra,Ilaiyaraaja,"Romance
"
Nene Monaganni,Ilaiyaraaja,Crime Story
Nenante Nene,Ilaiyaraaja,Social
Niluvu Dopidi,Ilaiyaraaja,Drama
Nindu Samsaram,Ilaiyaraaja,Family
Ninne Pelladata,Ilaiyaraaja,Comedy
Paala Manasulu,Ilaiyaraaja,"Romance
"
Panthaalu Pattimpulu,Ilaiyaraaja,"Romance
"
Papa Kosam,Ilaiyaraaja,"Romance
"
Pedaraasi Peddamma Katha,Ilaiyaraaja,Folklore
Pelliroju,Ilaiyaraaja,"Romance
"
Raja Yogam,Ilaiyaraaja,Folklore
Ramu,Ilaiyaraaja,Drama
Rana Bheri,Ilaiyaraaja,Folklore
Sati Arundhati,Ilaiyaraaja,"Romance
"
Sudigundaalu,Ilaiyaraaja,"Romance
"
Sukha Dukhalu,Ilaiyaraaja,Drama
Thalli Prema,Ilaiyaraaja,"Romance
"
Tikka Sankaraiah,Ilaiyaraaja,Comedy
Uma Chandi Gowri Shankarula Katha,Ilaiyaraaja,"Romance
"
Undamma Bottu Pedata,Ilaiyaraaja,"Romance
"
Veeranjaneya,Ilaiyaraaja,"Romance
"
Aadarsa Kutumbam,Ilaiyaraaja,"Romance
"
Aatmiyulu,Ilaiyaraaja,Drama
Adrushtavanthulu,Ilaiyaraaja,"Romance
"
Aggi Pidugu,Ilaiyaraaja,"Romance
"
